area_short,name,Borough
1,West Humber-Clairville,Etobicoke
2,Mount Olive-Silverstone-Jamestown,Etobicoke
3,Thistletown-Beaumond Heights,Etobicoke
4,Rexdale-Kipling,Etobicoke
5,Elms-Old Rexdale,Etobicoke
6,Kingsview Village-The Westway,Etobicoke
7,Willowridge-Martingrove-Richview,Etobicoke
8,Humber Heights-Westmount,Etobicoke
9,Edenbridge-Humber Valley,Etobicoke
10,Princess-Rosethorn,Etobicoke
11,Eringate-Centennial-West Deane,Etobicoke
12,Markland Wood,Etobicoke
13,Etobicoke West Mall,Etobicoke
14,Islington-City Centre West,Etobicoke
15,Kingsway South,Etobicoke
16,Stonegate-Queensway,Etobicoke
17,Mimico (includes Humber Bay Shores),Etobicoke
18,New Toronto,Etobicoke
19,Long Branch,Etobicoke
20,Alderwood,Etobicoke
21,Humber Summit,North York
22,Humbermede,North York
23,Pelmo Park-Humberlea,North York
24,Black Creek,North York
25,Glenfield-Jane Heights,North York
26,Downsview-Roding-CFB,North York
27,York University Heights,North York
28,Rustic,North York
29,Maple Leaf,North York
30,Brookhaven-Amesbury,North York
31,Yorkdale-Glen Park,North York
32,Englemount-Lawrence,North York
33,Clanton Park,North York
34,Bathurst Manor,North York
35,Westminster-Branson,North York
36,Newtonbrook West,North York
37,Willowdale West,North York
38,Lansing-Westgate,North York
39,Bedford Park-Nortown,North York
40,St.Andrew-Windfields,North York
41,Bridle Path-Sunnybrook-York Mills,North York
42,Banbury-Don Mills,North York
43,Victoria Village,North York
44,Flemingdon Park,North York
45,Parkwoods-Donalda,North York
46,Pleasant View,North York
47,Don Valley Village,North York
48,Hillcrest Village,North York
49,Bayview Woods-Steeles,North York
50,Newtonbrook East,North York
51,Willowdale East,North York
52,Bayview Village,North York
53,Henry Farm,North York
54,O'Connor-Parkview,East York
55,Thorncliffe Park,East York
56,Leaside-Bennington,East York
57,Broadview North,East York
58,Old East York,East York
59,Danforth East York,East York
60,Woodbine-Lumsden,East York
61,Taylor-Massey,East York
62,East End-Danforth,East End
63,The Beaches,East End
64,Woodbine Corridor,East End
65,Greenwood-Coxwell,East End
66,Danforth,East End
67,Playter Estates-Danforth,East End
68,North Riverdale,East End
69,Blake-Jones,East End
70,South Riverdale,East End
71,Cabbagetown-South St.James Town,Downtown
72,Regent Park,Downtown
73,Moss Park,Downtown
74,North St.James Town,Downtown
75,Church-Yonge Corridor,Downtown
76,Bay Street Corridor,Downtown
77,Waterfront Communities-The Island,Downtown
78,Kensington-Chinatown,Downtown
79,University,Downtown
80,Palmerston-Little Italy,West End
81,Trinity-Bellwoods,West End
82,Niagara,West End
83,Dufferin Grove,West End
84,Little Portugal,West End
85,South Parkdale,West End
86,Roncesvalles,West End
87,High Park-Swansea,West End
88,High Park North,West End
89,Runnymede-Bloor West Village,West End
90,Junction Area,West End
91,Weston-Pellam Park,West End
92,Corso Italia-Davenport,West End
93,Dovercourt-Wallace Emerson-Junction,West End
94,Wychwood,North End
95,Annex,North End
96,Casa Loma,North End
97,Yonge-St.Clair,North End
98,Rosedale-Moore Park,North End
99,Mount Pleasant East,North End
100,Yonge-Eglinton,North End
101,Forest Hill South,North End
102,Forest Hill North,North End
103,Lawrence Park South,North End
104,Mount Pleasant West,North End
105,Lawrence Park North,North End
106,Humewood-Cedarvale,York
107,Oakwood Village,York
108,Briar Hill-Belgravia,York
109,Caledonia-Fairbank,York
110,Keelesdale-Eglinton West,York
111,Rockcliffe-Smythe,York
112,Beechborough-Greenbrook,York
113,Weston,York
114,Lambton Baby Point,York
115,Mount Dennis,York
116,Steeles,Scarborough
117,L'Amoreaux,Scarborough
118,Tam O'Shanter-Sullivan,Scarborough
119,Wexford/Maryvale,Scarborough
120,Clairlea-Birchmount,Scarborough
121,Oakridge,Scarborough
122,Birchcliffe-Cliffside,Scarborough
123,Cliffcrest,Scarborough
124,Kennedy Park,Scarborough
125,Ionview,Scarborough
126,Dorset Park,Scarborough
127,Bendale,Scarborough
128,Agincourt South-Malvern West,Scarborough
129,Agincourt North,Scarborough
130,Milliken,Scarborough
131,Rouge,Scarborough
132,Malvern,Scarborough
133,Centennial Scarborough,Scarborough
134,Highland Creek,Scarborough
135,Morningside,Scarborough
136,West Hill,Scarborough
137,Woburn,Scarborough
138,Eglinton East,Scarborough
139,Scarborough Village,Scarborough
140,Guildwood,Scarborough
